frame,start_time,end_time,age,gen,emotion,age_classes,severity_score
1018,67.8229322,67.8895988,36,M,Sad,2,2
1019,67.8895988,67.9562654,36,M,Neutral,2,1
1020,67.9562654,68.022932,35,M,Neutral,2,1
1023,68.15626519999999,68.22293180000001,34,M,Sad,2,2
1024,68.22293180000001,68.2895984,35,M,Sad,2,2
1025,68.2895984,68.356265,34,M,Sad,2,2
1026,68.356265,68.4229316,34,M,Sad,2,2
1034,68.8895978,68.9562644,33,M,Sad,2,2
1035,68.9562644,69.022931,32,M,Sad,2,2
1036,69.022931,69.08959759999999,35,M,Sad,2,2
1040,69.2895974,69.356264,35,M,Sad,2,2
1043,69.4895972,69.5562638,36,F,Neutral,2,1
1111,74.02292600000001,74.0895926,35,M,Sad,2,2
1112,74.0895926,74.1562592,35,M,Sad,2,2
1113,74.1562592,74.2229258,35,M,Sad,2,2
1114,74.2229258,74.28959239999999,33,M,Sad,2,2
1119,74.5562588,74.6229254,34,M,Sad,2,2
1120,74.6229254,74.689592,35,M,Sad,2,2
1121,74.689592,74.7562586,35,M,Sad,2,2
1122,74.7562586,74.8229252,36,M,Sad,2,2
1123,74.8229252,74.88959179999999,37,M,Sad,2,2
1124,74.88959179999999,74.95625840000001,35,M,Sad,2,2
1138,75.82292419999999,75.88959080000001,34,M,Sad,2,2
1140,75.9562574,76.022924,36,M,Neutral,2,1
1143,76.1562572,76.2229238,38,M,Sad,2,2
1144,76.2229238,76.2895904,38,M,Sad,2,2
1145,76.2895904,76.356257,39,M,Sad,2,2
1146,76.356257,76.42292359999999,39,M,Sad,2,2
1147,76.42292359999999,76.48959020000001,38,M,Sad,2,2
1148,76.48959020000001,76.5562568,38,M,Sad,2,2
1149,76.5562568,76.6229234,38,M,Sad,2,2
1150,76.6229234,76.68959,37,M,Sad,2,2
1151,76.68959,76.7562566,38,M,Sad,2,2
1152,76.7562566,76.8229232,37,M,Sad,2,2
1153,76.8229232,76.8895898,39,M,Sad,2,2
1154,76.8895898,76.9562564,37,M,Sad,2,2
1155,76.9562564,77.02292299999999,38,M,Sad,2,2
1156,77.02292299999999,77.08958960000001,36,M,Sad,2,2
1157,77.08958960000001,77.1562562,37,M,Sad,2,2
1158,77.1562562,77.2229228,35,M,Sad,2,2
1175,78.2895884,78.356255,36,M,Sad,2,2
1179,78.55625479999999,78.62292140000001,34,M,Sad,2,2
1182,78.7562546,78.8229212,35,M,Sad,2,2
1183,78.8229212,78.88958779999999,34,M,Sad,2,2
1184,78.88958779999999,78.9562544,35,M,Sad,2,2
1185,78.9562544,79.022921,36,M,Sad,2,2
1186,79.022921,79.0895876,36,M,Sad,2,2
67,2.2229978,2.2563311,32,M,Sad,2,2
179,5.9563274,5.9896607,40,M,Neutral,3,1
180,5.9896607,6.022994,38,M,Neutral,2,1
1118,37.2562961,37.2896294,32,M,Sad,2,2
1121,37.356296,37.3896293,34,M,Sad,2,2
1438,47.9229521,47.9562854,38,M,Sad,2,2
1440,47.9896187,48.022952,37,M,Sad,2,2
1858,61.9229381,61.9562714,32,F,Sad,2,2
4123,137.4228626,137.45619589999998,33,M,Sad,2,2
7,0.4229996,0.4896662,35,F,Sad,2,2
8,0.4896662,0.5563328000000001,36,M,Sad,2,2
9,0.5563328000000001,0.6229994000000001,37,M,Neutral,2,1
10,0.6229994000000001,0.689666,38,M,Sad,2,2
11,0.689666,0.7563325999999999,37,M,Neutral,2,1
12,0.7563325999999999,0.8229991999999999,39,M,Sad,2,2
13,0.8229991999999999,0.8896658,38,M,Sad,2,2
14,0.8896658,0.9563324,37,F,Sad,2,2
15,0.9563324,1.022999,39,F,Sad,2,2
16,1.022999,1.0896656,37,F,Sad,2,2
17,1.0896656,1.1563322,38,F,Sad,2,2
18,1.1563322,1.2229988,38,F,Sad,2,2
19,1.2229988,1.2896654,38,F,Neutral,2,1
20,1.2896654,1.356332,38,F,Sad,2,2
21,1.356332,1.4229986,37,F,Sad,2,2
22,1.4229986,1.4896652,37,F,Sad,2,2
23,1.4896652,1.5563318,37,F,Sad,2,2
24,1.5563318,1.6229984,36,F,Neutral,2,1
25,1.6229984,1.689665,36,F,Sad,2,2
26,1.689665,1.7563316,37,M,Neutral,2,1
30,1.9563314,2.022998,36,F,Sad,2,2
31,2.022998,2.0896646,36,F,Sad,2,2
34,2.2229978,2.2896644,34,M,Sad,2,2
35,2.2896644,2.356331,35,M,Sad,2,2
36,2.356331,2.4229976,34,M,Sad,2,2
76,5.022995,5.0896616,32,F,Happy,2,1
78,5.1563282,5.2229948,31,F,Neutral,2,1
79,5.2229948,5.2896614,30,F,Happy,2,1
114,7.5563258,7.6229924,33,M,Neutral,2,1
115,7.6229924,7.689659,34,M,Neutral,2,1
116,7.689659,7.7563256,32,M,Neutral,2,1
117,7.7563256,7.8229922,32,M,Neutral,2,1
118,7.8229922,7.8896588,34,M,Neutral,2,1
119,7.8896588,7.9563254,36,M,Neutral,2,1
120,7.9563254,8.022992,37,M,Neutral,2,1
121,8.022992,8.0896586,38,M,Neutral,2,1
122,8.0896586,8.1563252,37,F,Neutral,2,1
123,8.1563252,8.222991799999999,40,M,Neutral,3,1
124,8.222991799999999,8.2896584,35,M,Neutral,2,1
125,8.2896584,8.356325,34,M,Sad,2,2
126,8.356325,8.4229916,35,M,Neutral,2,1
127,8.4229916,8.4896582,35,M,Neutral,2,1
128,8.4896582,8.5563248,35,M,Neutral,2,1
129,8.5563248,8.6229914,36,M,Neutral,2,1
130,8.6229914,8.689658,36,M,Neutral,2,1
131,8.689658,8.7563246,37,M,Neutral,2,1
132,8.7563246,8.8229912,37,M,Neutral,2,1
133,8.8229912,8.8896578,35,M,Happy,2,1
134,8.8896578,8.9563244,33,M,Happy,2,1
135,8.9563244,9.022991,33,M,Neutral,2,1
136,9.022991,9.0896576,34,M,Neutral,2,1
137,9.0896576,9.156324199999998,32,M,Neutral,2,1
138,9.156324199999998,9.2229908,31,M,Neutral,2,1
139,9.2229908,9.2896574,31,M,Neutral,2,1
140,9.2896574,9.356324,31,M,Neutral,2,1
141,9.356324,9.4229906,30,F,Neutral,2,1
215,14.2896524,14.356319,32,F,Neutral,2,1
216,14.356319,14.4229856,34,F,Neutral,2,1
217,14.4229856,14.4896522,33,F,Neutral,2,1
218,14.4896522,14.5563188,34,F,Neutral,2,1
220,14.6229854,14.689652,32,M,Neutral,2,1
229,15.2229848,15.2896514,37,M,Sad,2,2
230,15.2896514,15.356318,36,M,Neutral,2,1
231,15.356318,15.4229846,33,M,Neutral,2,1
232,15.4229846,15.4896512,33,M,Neutral,2,1
233,15.4896512,15.5563178,33,F,Neutral,2,1
234,15.5563178,15.6229844,31,M,Neutral,2,1
235,15.6229844,15.689651,32,M,Neutral,2,1
236,15.689651,15.7563176,31,M,Neutral,2,1
237,15.7563176,15.8229842,31,M,Neutral,2,1
238,15.8229842,15.8896508,30,M,Neutral,2,1
239,15.8896508,15.9563174,29,M,Neutral,1,1
240,15.9563174,16.022984,33,M,Neutral,2,1
241,16.022984,16.089650600000002,36,F,Neutral,2,1
242,16.089650600000002,16.1563172,30,M,Neutral,2,1
243,16.1563172,16.2229838,33,M,Neutral,2,1
244,16.2229838,16.2896504,33,M,Neutral,2,1
245,16.2896504,16.356317,35,M,Neutral,2,1
326,21.689645,21.7563116,38,F,Neutral,2,1
327,21.7563116,21.8229782,35,F,Neutral,2,1
328,21.8229782,21.8896448,35,M,Neutral,2,1
329,21.8896448,21.9563114,37,M,Neutral,2,1
330,21.9563114,22.022978,36,M,Neutral,2,1
331,22.022978,22.0896446,35,M,Neutral,2,1
332,22.0896446,22.1563112,34,M,Neutral,2,1
333,22.1563112,22.2229778,35,M,Neutral,2,1
334,22.2229778,22.2896444,31,F,Neutral,2,1
396,26.356307,26.4229736,32,M,Neutral,2,1
397,26.4229736,26.4896402,32,M,Neutral,2,1
398,26.4896402,26.5563068,33,F,Neutral,2,1
399,26.5563068,26.6229734,34,F,Neutral,2,1
407,27.0896396,27.1563062,34,M,Neutral,2,1
409,27.2229728,27.2896394,33,M,Neutral,2,1
410,27.2896394,27.356306,35,M,Neutral,2,1
411,27.356306,27.4229726,34,M,Neutral,2,1
412,27.4229726,27.489639200000003,36,M,Neutral,2,1
413,27.489639200000003,27.5563058,33,M,Neutral,2,1
414,27.5563058,27.6229724,34,M,Neutral,2,1
415,27.6229724,27.689639,31,M,Neutral,2,1
416,27.689639,27.7563056,32,M,Neutral,2,1
417,27.7563056,27.8229722,33,M,Neutral,2,1
418,27.8229722,27.8896388,34,M,Neutral,2,1
419,27.8896388,27.9563054,32,M,Neutral,2,1
420,27.9563054,28.022972000000003,37,M,Neutral,2,1
421,28.022972000000003,28.0896386,35,M,Neutral,2,1
422,28.0896386,28.1563052,36,M,Neutral,2,1
424,28.2229718,28.2896384,35,M,Neutral,2,1
449,29.8896368,29.9563034,33,M,Sad,2,2
450,29.9563034,30.02297,29,M,Sad,1,2
451,30.02297,30.0896366,32,M,Neutral,2,1
452,30.0896366,30.1563032,33,M,Sad,2,2
453,30.1563032,30.2229698,32,M,Sad,2,2
454,30.2229698,30.2896364,30,M,Neutral,2,1
455,30.2896364,30.356303,28,M,Neutral,1,1
456,30.356303,30.4229696,30,M,Neutral,2,1
457,30.4229696,30.4896362,30,M,Neutral,2,1
458,30.4896362,30.5563028,32,M,Neutral,2,1
459,30.5563028,30.6229694,31,F,Neutral,2,1
